"OrderId","Symbol","TimeOpen","TimeClose","Type","ExitType","OrderId.1","LOTsize","OpenPrice","SLprice","TPprice","ClosePrice","Profit_Perc","OrderProfit","Account_Balance","Drawdown","Spread","Commission","HighestHigh","LowestLow","Profit_Per_Pip","Bars_In_Market","Max_Profit","Max_Loss","Performance_In_Product","Performance_In_Product_Only_Negative","Distance_ML","Distance_MP"
1,"AAPL","2009.01.07 09:45","2009.01.07 10:00","SELL","STOPLOSS",1,220,87.48,88.39,82.94,88.39,-0.0200199999999999,-200.2,9799.8,0.98,0.02,2.2,88.39,87.44,1,2,0.09,2,0.97998,1.97998,0,1
2,"AAPL","2009.01.08 10:30","2009.01.08 10:45","SELL","STOPLOSS",2,327,86.98,87.58,83.96,87.58,-0.0200253123213847,-196.2,9601.4,0.96,0.02,3.27,87.58,86.75,1,2,0.77,2,0.979974687678615,1.97997468767862,0,1
3,"AAPL","2009.01.09 10:00","2009.01.09 12:30","SELL","CLOSE",3,275,87.42,88.12,83.94,87.21,0.00601679702192004,57.75,9655.88,1,0.02,2.75,87.81,86.63,1,11,2.26,1.11,1.00601679702192,0,0.265822784810135,0
4,"AAPL","2009.01.12 09:45","2009.01.12 12:30","SELL","CLOSE",4,333,86.72,87.3,83.8,84.96,0.0607139860335457,586.08,10239.21,1,0.02,3.33,87.18,84.57,1,12,7.42,1.59,1.06071398603355,0,0.818604651162791,0
5,"AAPL","2009.01.14 10:00","2009.01.14 12:30","SELL","CLOSE",5,289,82.91,83.62,79.36,82.56,0.00988190561046021,101.15,10337.03,1,0.02,2.89,83.22,82.06,1,11,2.4,0.87,1.00988190561046,0,0.411764705882349,0
6,"AAPL","2009.01.15 09:45","2009.01.15 12:30","SELL","CLOSE",6,253,79.13,79.95,75.04,78.03,0.0269301557749362,278.3,10612.44,1,0.02,2.53,79.37,77.15,1,12,4.85,0.59,1.02693015577494,0,0.555555555555556,0
7,"AAPL","2009.01.16 10:15","2009.01.16 12:30","SELL","CLOSE",7,224,78.04,78.99,73.31,77.44,0.0126674024567599,134.4,10744.31,1,0.02,2.24,78.33,77.28,1,10,1.6,0.61,1.01266740245676,0,0.789473684210532,0
8,"AAPL","2009.01.20 10:00","2009.01.20 12:30","SELL","CLOSE",8,272,77.63,78.42,73.68,76.51,0.0283595247470927,304.64,11046.71,1,0.02,2.72,77.66,76.16,1,11,3.72,0.08,1.02835952474709,0,0.761904761904766,0
9,"AAPL","2009.01.21 10:00","2009.01.21 10:15","BUY","STOPLOSS",9,287,77.83,77.06,81.56,77.06,-0.0200099782777781,-220.99,10823,0.98,0.02,2.87,78.02,77.06,1,2,0.49,2,0.979990021722222,1.97999002172222,1,0
10,"AAPL","2009.01.22 09:45","2009.01.22 12:30","BUY","CLOSE",10,213,84.09,83.07,89.06,84.94,0.0167327009934262,181.05,11001.18,1,0.02,2.13,86.35,83.83,1,12,4.45,0.51,1.01673270099343,0,0,0.376106194690268
11,"AAPL","2009.01.26 09:45","2009.01.26 12:30","BUY","CLOSE",11,324,86.35,85.67,89.61,87.05,0.0206199626331365,226.8,11225.85,1,0.02,3.24,87.44,86.18,1,12,3.21,0.5,1.02061996263314,0,0,0.642201834862386
12,"AAPL","2009.01.27 09:45","2009.01.27 10:00","BUY","STOPLOSS",12,368,87.1,86.49,90.05,86.49,-0.0200024771421264,-224.48,10998.13,0.98,0.02,3.68,87.35,86.49,1,2,0.82,2,0.979997522857874,1.97999752285787,1,0
13,"AAPL","2009.01.28 09:45","2009.01.28 12:15","BUY","TAKEPROFIT",13,432,87.98,87.47,90.42,90.42,0.0958738272492035,1054.08,12048.53,1,0.02,4.32,90.42,87.93,1,11,9.59,0.2,1.0958738272492,0,0,1
14,"AAPL","2009.01.30 10:00","2009.01.30 12:30","SELL","CLOSE",14,447,88.19,88.73,85.51,87.54,0.0241236245465666,290.55,12334.76,1,0.02,4.47,88.48,87.09,1,11,4.08,1.07,1.02412362454657,0,0.590909090909099,0
15,"AAPL","2009.02.02 09:45","2009.02.02 10:15","SELL","STOPLOSS",15,441,87.2,87.76,84.4,87.76,-0.0200287260072554,-246.96,12083.33,0.98,0.02,4.41,87.76,86.52,1,3,2.43,2,0.979971273992745,1.97997127399274,0,1
16,"AAPL","2009.02.03 10:45","2009.02.03 12:15","BUY","STOPLOSS",16,341,88.84,88.13,92.27,88.13,-0.0200440105572351,-242.11,11836.81,0.96,0.02,3.41,89.1,88.13,1,7,0.73,2,0.979955989442765,1.97995598944276,1,0
17,"AAPL","2009.02.04 09:45","2009.02.04 12:30","BUY","CLOSE",17,409,90.82,90.24,93.58,92.32,0.0518447783392768,613.5,12446.9,1,0.02,4.09,92.52,90.59,1,12,5.88,0.79,1.05184477833928,0,0,0.882352941176469
18,"AAPL","2009.02.05 11:00","2009.02.05 12:30","BUY","CLOSE",18,341,92.02,91.29,95.55,92.16,0.00383675391651894,47.74,12490.55,1,0.02,3.41,92.91,91.48,1,7,2.44,1.48,1.00383675391652,0,0,0.157303370786517
19,"AAPL","2009.02.06 09:45","2009.02.06 12:30","BUY","CLOSE",19,397,93.95,93.32,96.99,94.99,0.0330644166718717,412.88,12900.02,1,0.02,3.97,95.54,93.83,1,12,5.06,0.38,1.03306441667187,0,0,0.654088050314459
20,"AAPL","2009.02.09 09:45","2009.02.09 12:30","BUY","CLOSE",20,478,96.55,96.01,99.13,98.94,0.0885868153426823,1142.42,14038.47,1,0.02,4.78,99,96.35,1,12,9.08,0.74,1.08858681534268,0,0,0.975510204081632
21,"AAPL","2009.02.12 10:00","2009.02.12 10:15","BUY","STOPLOSS",21,370,93.83,93.07,97.51,93.07,-0.0200374954840816,-281.2,13752.49,0.98,0.02,3.7,93.84,93.07,1,2,0.03,2,0.979962504515918,1.97996250451592,1,0
22,"AAPL","2009.02.13 11:00","2009.02.13 12:30","BUY","CLOSE",22,362,95.58,94.82,99.27,95.44,-0.00368614256236366,-50.68,13698.11,0.98,0.02,3.62,95.66,94.98,1,7,0.21,1.58,0.996313857437636,1.99631385743764,0.233333333333337,0
23,"AAPL","2009.02.17 09:45","2009.02.17 12:30","SELL","CLOSE",23,376,92.49,93.22,88.82,91.22,0.0348694986085643,477.52,14172.01,1,0.02,3.76,92.59,90.88,1,12,4.42,0.27,1.03486949860856,0,0.788819875776395,0
24,"AAPL","2009.02.18 10:30","2009.02.18 11:15","SELL","STOPLOSS",24,342,90.85,91.68,86.69,91.68,-0.020034937271717,-283.86,13884.39,0.98,0.02,3.42,91.68,90.76,1,4,0.22,2,0.979965062728283,1.97996506272828,0,1
25,"AAPL","2009.02.19 09:45","2009.02.19 12:30","SELL","CLOSE",25,434,88.95,89.59,85.76,87.04,0.0597177286601731,828.94,14709.91,1,0.02,4.34,89.33,86.82,1,12,6.66,1.19,1.05971772866017,0,0.896713615023475,0
26,"AAPL","2009.02.23 10:00","2009.02.23 12:30","SELL","CLOSE",26,359,85.44,86.26,81.36,84.69,0.0183093888914201,269.25,14974.82,1,0.02,3.59,85.81,84.1,1,11,3.27,0.9,1.01830938889142,0,0.559701492537312,0
27,"AAPL","2009.02.25 11:30","2009.02.25 12:30","BUY","CLOSE",27,366,87.71,86.89,91.69,87.37,-0.00831194230534138,-124.44,14846.79,0.99,0.02,3.66,88.52,87.21,1,5,1.98,1.22,0.991688057694659,1.99168805769466,0.679999999999978,0
28,"AAPL","2009.02.26 11:00","2009.02.26 11:15","BUY","STOPLOSS",28,350,89.26,88.41,93.38,88.41,-0.0200429424252161,-297.5,14545.63,0.97,0.02,3.5,89.32,88.41,1,2,0.14,2,0.979957057574784,1.97995705757478,1,0
29,"AAPL","2009.02.27 09:45","2009.02.27 10:00","SELL","STOPLOSS",29,360,85.58,86.39,81.52,86.39,-0.020052083154256,-291.6,14250.53,0.95,0.02,3.6,86.39,85.57,1,2,0.02,2,0.979947916845744,1.97994791684574,0,1
30,"AAPL","2009.03.02 12:00","2009.03.02 12:30","SELL","CLOSE",30,300,85.68,86.63,80.94,86.05,-0.00779115219910509,-111,14135.93,0.94,0.02,3,86.14,85.41,1,3,0.57,0.97,0.992208847800895,1.9922088478009,0,0.804347826086946
31,"AAPL","2009.03.04 10:00","2009.03.04 12:30","BUY","CLOSE",31,333,86.76,85.91,90.89,88.16,0.0329867904249155,466.2,14599.13,1,0.02,3.33,88.38,86.35,1,11,3.82,0.96,1.03298679042492,0,0,0.864197530864199
32,"AAPL","2009.03.05 10:30","2009.03.05 12:30","SELL","CLOSE",32,385,86.25,87.01,82.46,85.91,0.00896833335617098,130.9,14726.7,1,0.02,3.85,86.6,85.01,1,9,3.27,0.92,1.00896833335617,0,0.274193548387101,0
33,"AAPL","2009.03.06 09:45","2009.03.06 11:00","SELL","TAKEPROFIT",33,343,84.09,84.95,79.77,79.77,0.100643557463399,1481.76,16204.61,1,0.02,3.43,84.27,79.77,1,6,10.06,0.42,1.1006435574634,0,1,0
34,"AAPL","2009.03.10 09:45","2009.03.10 12:30","BUY","CLOSE",34,391,82.79,81.96,86.82,84.84,0.0494747913423592,801.55,17002.73,1,0.02,3.91,85.22,82.04,1,12,5.86,1.81,1.04947479134236,0,0,0.843621399176957
